PERIODO,ID_ZONA,RUBRO,NIVEL_RIESGO,APERTURAS,CIERRES,SUPERVIVENCIA,PROMEDIO_VENTAS,NIVEL_CRECIMIENTO,NIVEL_ESTABILIDAD,CANTIDAD_LOCALES,SUPERV_MENOS_1,SUPERV_ENTRE_1_Y_2,SUPERV_ENTRE_2_Y_3,SUPERV_ENTRE_3_Y_4,SUPERV_ENTRE_4_Y_5,SUPERV_MAS_5,ANIO_ANTERIOR,PROMEDIO_VENTAS_ANIO_ANTERIOR,APERTURAS_ANIO_ANTERIOR,CIERRES_ANIO_ANTERIOR,TENDENCIA_APERTURAS,TENDENCIA_CIERRES
Enero - Abril 2016,1,Bares y Cafés,2,.00,.00,.00,1,,3,2,.00,100.00,.00,.00,.00,.00,,,,,,
Enero - Abril 2016,1,Carnes y Verduras,1,3.57,.00,100.00,3,,4,1,3.57,.00,.00,.00,21.43,75.00,,,,,,
Enero - Abril 2016,1,Comida al Paso,2,2.56,.00,58.82,3,,3,2,5.13,7.69,10.26,5.13,10.26,61.54,,,,,,
Enero - Abril 2016,1,Ferretería y Construcción,1,2.04,.00,90.00,2,,4,2,4.08,8.16,2.04,4.08,12.24,69.39,,,,,,
Enero - Abril 2016,1,Fiambrerías y Dietéticas,1,.00,.00,100.00,4,,3,2,.00,.00,.00,.00,50.00,50.00,,,,,,
Enero - Abril 2016,1,Heladerías,1,100.00,.00,NULL,1,,3,2,100.00,.00,.00,.00,.00,.00,,,,,,
Enero - Abril 2016,1,Indumentaria,1,5.56,.00,73.68,2,,2,1,18.52,11.11,7.41,3.70,14.81,44.44,,,,,,
Enero - Abril 2016,1,Instituciones Deportivas,1,.00,.00,85.71,2,,3,3,8.33,.00,16.67,16.67,16.67,41.67,,,,,,
Enero - Abril 2016,1,Insumos para el Hogar,1,.00,.00,100.00,3,,3,2,8.33,8.33,8.33,.00,16.67,58.33,,,,,,
Enero - Abril 2016,1,Kioscos y Loterías,1,.00,.00,100.00,5,,2,1,8.33,.00,25.00,8.33,16.67,41.67,,,,,,
Enero - Abril 2016,1,Música y Librería,1,4.00,.00,100.00,2,,2,1,12.00,.00,8.00,16.00,8.00,56.00,,,,,,
Enero - Abril 2016,1,Óptica y Joyerías,3,.00,.00,50.00,2,,3,1,.00,11.11,11.11,.00,.00,77.78,,,,,,
Enero - Abril 2016,1,Panaderías,1,.00,.00,100.00,4,,3,1,.00,33.33,.00,.00,33.33,33.33,,,,,,
Enero - Abril 2016,1,Restaurantes,2,.00,.00,77.78,2,,3,3,2.33,4.65,2.33,6.98,23.26,60.47,,,,,,
Enero - Abril 2016,1,Salud y Cosmética,1,3.85,.00,100.00,3,,3,1,3.85,3.85,3.85,7.69,15.38,65.38,,,,,,
Enero - Abril 2016,1,Supermercados y Almacenes,1,2.94,.00,87.50,2,,3,2,14.71,5.88,5.88,8.82,5.88,58.82,,,,,,
Enero - Abril 2016,1,Tratamientos Estéticos,3,.00,.00,25.00,1,,5,2,.00,12.50,.00,.00,12.50,75.00,,,,,,
Enero - Abril 2016,1,Veterinaria,1,.00,.00,100.00,2,,3,2,20.00,20.00,.00,.00,20.00,40.00,,,,,,
Enero - Abril 2016,2,Bares y Cafés,1,.00,.00,NULL,1,,,1,.00,.00,.00,.00,.00,.00,,,,,,
Enero - Abril 2016,2,Carnes y Verduras,1,.00,.00,NULL,1,,,1,.00,.00,.00,.00,.00,.00,,,,,,
Enero - Abril 2016,2,Comida al Paso,1,14.29,.00,100.00,4,,3,1,14.29,28.57,28.57,.00,.00,28.57,,,,,,
Enero - Abril 2016,2,Ferretería y Construcción,1,.00,.00,100.00,1,,2,1,.00,.00,50.00,.00,.00,50.00,,,,,,
Enero - Abril 2016,2,Fiambrerías y Dietéticas,1,.00,.00,NULL,1,,,1,.00,.00,.00,.00,.00,.00,,,,,,
Enero - Abril 2016,2,Heladerías,1,.00,.00,NULL,1,,,1,.00,.00,.00,.00,.00,.00,,,,,,
Enero - Abril 2016,2,Indumentaria,1,.00,.00,100.00,1,,4,1,.00,.00,.00,.00,50.00,50.00,,,,,,
Enero - Abril 2016,2,Instituciones Deportivas,1,.00,.00,100.00,4,,4,2,.00,.00,.00,.00,16.67,83.33,,,,,,
Enero - Abril 2016,2,Insumos para el Hogar,2,.00,.00,NULL,1,,,1,.00,.00,.00,.00,.00,.00,,,,,,
Enero - Abril 2016,2,Kioscos y Loterías,2,.00,.00,NULL,1,,2,1,.00,50.00,.00,.00,.00,50.00,,,,,,
Enero - Abril 2016,2,Música y Librería,2,.00,.00,NULL,1,,,1,.00,.00,.00,.00,.00,.00,,,,,,
Enero - Abril 2016,2,Óptica y Joyerías,2,.00,.00,NULL,1,,,1,.00,.00,.00,.00,.00,.00,,,,,,
Enero - Abril 2016,2,Panaderías,1,.00,.00,NULL,1,,,1,.00,.00,.00,.00,.00,.00,,,,,,
Enero - Abril 2016,2,Restaurantes,3,.00,.00,.00,4,,4,1,.00,.00,.00,.00,.00,100.00,,,,,,
Enero - Abril 2016,2,Salud y Cosmética,2,.00,.00,NULL,5,,3,1,.00,.00,.00,.00,.00,100.00,,,,,,
Enero - Abril 2016,2,Supermercados y Almacenes,2,.00,.00,NULL,1,,,1,.00,.00,.00,.00,.00,.00,,,,,,
Enero - Abril 2016,2,Tratamientos Estéticos,2,.00,.00,NULL,1,,,1,.00,.00,.00,.00,.00,.00,,,,,,
Enero - Abril 2016,2,Veterinaria,1,.00,.00,100.00,2,,2,1,.00,.00,.00,.00,100.00,.00,,,,,,
Enero - Abril 2016,3,Bares y Cafés,1,.00,.00,NULL,1,,,1,.00,.00,.00,.00,.00,.00,,,,,,
Enero - Abril 2016,3,Carnes y Verduras,2,.00,.00,75.00,2,,5,1,.00,7.69,.00,.00,23.08,69.23,,,,,,
Enero - Abril 2016,3,Comida al Paso,2,10.00,.00,75.00,1,,4,1,10.00,.00,.00,20.00,10.00,60.00,,,,,,
Enero - Abril 2016,3,Ferretería y Construcción,1,.00,.00,100.00,3,,4,2,11.63,2.33,4.65,2.33,6.98,72.09,,,,,,
Enero - Abril 2016,3,Fiambrerías y Dietéticas,1,.00,.00,100.00,5,,4,1,.00,.00,16.67,.00,.00,83.33,,,,,,
Enero - Abril 2016,3,Heladerías,1,.00,.00,100.00,3,,3,3,50.00,.00,.00,.00,50.00,.00,,,,,,
Enero - Abril 2016,3,Indumentaria,1,.00,.00,87.50,3,,4,1,4.00,.00,4.00,4.00,20.00,68.00,,,,,,
Enero - Abril 2016,3,Instituciones Deportivas,1,.00,.00,100.00,1,,3,2,20.00,.00,.00,20.00,20.00,40.00,,,,,,
Enero - Abril 2016,3,Insumos para el Hogar,1,.00,.00,100.00,3,,4,2,.00,.00,7.69,7.69,7.69,76.92,,,,,,
Enero - Abril 2016,3,Kioscos y Loterías,1,.00,.00,100.00,2,,4,1,.00,.00,.00,.00,23.08,76.92,,,,,,
Enero - Abril 2016,3,Música y Librería,2,.00,.00,75.00,3,,4,1,.00,9.68,.00,3.23,6.45,80.65,,,,,,
Enero - Abril 2016,3,Óptica y Joyerías,1,.00,.00,100.00,1,,2,1,11.11,33.33,.00,11.11,11.11,33.33,,,,,,
Enero - Abril 2016,3,Panaderías,1,.00,.00,100.00,4,,4,2,.00,.00,.00,.00,14.29,85.71,,,,,,
Enero - Abril 2016,3,Restaurantes,3,16.67,.00,33.33,1,,3,1,16.67,.00,.00,.00,16.67,66.67,,,,,,
Enero - Abril 2016,3,Salud y Cosmética,1,.00,.00,100.00,2,,4,1,.00,5.88,5.88,.00,5.88,82.35,,,,,,
Enero - Abril 2016,3,Supermercados y Almacenes,1,.00,.00,100.00,2,,4,2,.00,7.14,7.14,3.57,14.29,67.86,,,,,,
Enero - Abril 2016,3,Tratamientos Estéticos,2,.00,.00,NULL,1,,3,1,.00,.00,.00,.00,.00,100.00,,,,,,
Enero - Abril 2016,3,Veterinaria,1,.00,.00,NULL,4,,4,1,.00,.00,.00,.00,.00,100.00,,,,,,
